%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Scanivalve Pressure 16 [Pa]
295.038,82067.875,0.969,12.082,70.731,73.964,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
294.968,82029,0.969,12.092,70.822,74.189,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5
294.968,82029,0.969,12.092,70.822,74.189,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5
294.909,82000.844,0.969,12.106,70.986,74.206,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
294.888,81995.617,0.969,24.003,279.042,290.122,0,3917.671,-2074.149,57.14,-0.035,0.046,4.5
294.889,81995.289,0.969,23.947,277.743,289.98,0,3917.671,-2074.149,-74.735,-0.035,0.046,4.5
294.889,81995.289,0.969,23.947,277.743,289.98,0,3917.671,-2074.149,-74.735,-0.035,0.046,4.5
294.97,82033.844,0.969,23.977,278.5,289.853,0,3917.671,-2074.149,-31.154,-0.034,0.045,4.5
294.97,82033.844,0.969,23.977,278.5,289.853,0,3917.671,-2074.149,-31.154,-0.034,0.045,4.5
295.001,82052.375,0.969,23.971,278.389,289.739,0,3917.671,-2074.149,45.363,-0.034,0.045,4.5
295.001,82052.375,0.969,23.971,278.389,289.739,0,3917.671,-2074.149,45.363,-0.034,0.045,4.5
294.968,82032.742,0.969,24.021,278.187,290.201,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5
294.968,82032.742,0.969,24.021,279.512,290.137,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5
294.957,82028.547,0.969,24.027,279.645,290.112,0,3917.671,-2074.149,73.552,-0.035,0.046,4.5
294.903,82000.328,0.969,24,278.975,290.295,0,3917.671,-2074.149,50.996,-0.035,0.045,4.5
294.892,81995.68,0.969,24.002,279.031,290.634,0,3917.671,-2074.149,0.47,-0.035,0.045,4.5
294.892,81995.68,0.969,24.045,279.031,290.634,0,3917.671,-2074.149,0.47,-0.035,0.045,4.5
294.966,82032.555,0.969,24.045,280.069,290.534,0,3917.671,-2074.149,104.223,-0.035,0.045,4.5
294.902,81998.969,0.969,24.012,279.251,290.503,0,3917.671,-2074.149,53.244,-0.035,0.046,4.5
295.004,82049.984,0.969,24.015,279.251,290.503,0,3917.671,-2074.149,-34.235,-0.034,0.045,4.5
295.004,82049.984,0.969,24.015,279.413,290.538,0,3917.671,-2074.149,-34.235,-0.034,0.045,4.5
294.975,82036.492,0.969,24.012,279.315,290.619,0,3917.671,-2074.149,-104.296,-0.035,0.046,4.5
294.975,82036.492,0.969,24.012,279.315,290.619,0,3917.671,-2074.149,-104.296,-0.035,0.046,4.5
294.892,81995.289,0.969,24.001,278.987,290.564,0,3917.671,-2074.149,69.499,-0.035,0.045,4.5
294.553,82078.203,0.971,35.499,611.653,640.481,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.622,82109.781,0.971,35.522,612.538,640.366,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.622,82109.781,0.971,35.522,612.538,640.366,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.591,82093.25,0.971,35.551,613.493,640.983,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.591,82093.25,0.971,35.551,613.493,640.983,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.514,82056.312,0.971,35.541,614.381,640.989,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.514,82056.312,0.971,35.541,613.015,640.831,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.502,82053.734,0.971,35.551,613.385,641.252,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.502,82053.734,0.971,35.551,613.385,641.252,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.551,82077.945,0.971,35.574,614.25,641.366,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.551,82077.945,0.971,35.574,614.25,641.366,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.529,82064.391,0.971,35.607,615.333,641.479,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.6,82097.898,0.971,35.559,613.761,641.641,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.464,82034.422,0.971,35.583,614.413,641.824,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.546,82074.523,0.971,35.597,615.013,641.472,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.546,82074.523,0.971,35.597,615.013,641.472,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.617,82108.039,0.971,35.5,611.797,641.274,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.617,82108.039,0.971,35.5,611.797,641.274,0,3917.671,-2074.149,104.223,-0.035,0.046,6.5
294.581,82089.375,0.971,35.526,612.61,640.953,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.547,82072.203,0.971,35.512,612.61,640.953,0,3917.671,-2074.149,104.223,-0.035,0.045,6.5
294.47,82041.977,0.971,47.166,1079.63,1134.337,0,3917.671,-2074.149,104.223,-0.035,0.046,8.5
294.445,82030.617,0.971,47.236,1082.74,1134.242,0,3917.671,-2074.149,104.223,-0.035,0.046,8.5
294.483,82050.695,0.971,47.143,1078.633,1134.277,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.582,82100.164,0.971,47.129,1078.289,1132.709,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.582,82100.164,0.971,47.129,1078.289,1132.709,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.543,82082.078,0.971,47.176,1080.324,1133.691,0,3917.671,-2074.149,104.223,-0.034,0.045,8.5
294.512,82063.422,0.971,47.11,1077.194,1132.509,0,3917.671,-2074.149,104.223,-0.035,0.046,8.5
294.512,82063.422,0.971,47.11,1077.194,1132.509,0,3917.671,-2074.149,104.223,-0.035,0.046,8.5
294.538,82079.172,0.971,47.032,1073.709,1132.009,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.428,82023.898,0.971,47.085,1073.709,1132.009,0,3917.671,-2074.149,104.223,-0.035,0.046,8.5
294.428,82023.898,0.971,47.085,1075.839,1131.549,0,3917.671,-2074.149,104.223,-0.035,0.046,8.5
294.492,82055.602,0.971,47.14,1078.529,1131.282,0,3917.671,-2074.149,104.223,-0.035,0.046,8.5
294.466,82042.234,0.971,47.058,1074.686,1131.632,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.466,82042.234,0.971,47.058,1074.686,1131.632,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.493,82056.383,0.971,47.131,1078.088,1129.812,0,3917.671,-2074.149,104.223,-0.035,0.046,8.5
294.56,82087.766,0.971,47.088,1076.299,1131.287,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.56,82087.766,0.971,47.088,1076.299,1131.287,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.459,82040.297,0.971,47.17,1079.796,1131.887,0,3917.671,-2074.149,104.223,-0.034,0.046,8.5
294.515,82065.227,0.971,47.155,1079.244,1131.802,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
294.588,82102.68,0.971,47.136,1078.579,1131.875,0,3917.671,-2074.149,104.223,-0.035,0.045,8.5
