%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Scanivalve Pressure 16 [Pa]
294.632,82107.133,0.971,1.374,0.917,1.142,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.555,82065.094,0.971,1.513,1.111,1.132,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.623,82101.969,0.971,1.443,1.243,1.325,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.515,82048.562,0.971,1.585,1.22,1.221,0,3917.671,-2074.149,-104.296,-0.035,0.046,0.5
294.515,82048.562,0.971,1.585,1.22,1.221,0,3917.671,-2074.149,-104.296,-0.035,0.046,0.5
294.557,82068.969,0.971,1.458,1.032,1.293,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.557,82068.969,0.971,1.458,1.032,1.293,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.625,82106.039,0.971,1.598,1.239,1.176,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.516,82047.984,0.971,1.569,1.239,1.176,0,3917.671,-2074.149,-104.296,-0.035,0.046,0.5
294.516,82047.984,0.971,1.569,1.195,1.2,0,3917.671,-2074.149,-104.296,-0.035,0.046,0.5
294.555,82070.195,0.971,1.548,1.163,1.152,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.555,82070.195,0.971,1.548,1.163,1.152,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.621,82104.75,0.971,1.516,1.115,1.19,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.516,82052.18,0.971,1.488,1.075,1.081,0,3917.671,-2074.149,-104.296,-0.035,0.046,0.5
294.516,82052.18,0.971,1.488,1.075,1.081,0,3917.671,-2074.149,-104.296,-0.035,0.046,0.5
294.63,82106.234,0.971,1.503,1.097,1.064,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.562,82074.328,0.971,1.546,1.16,1.254,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.562,82074.328,0.971,1.546,1.16,1.254,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.518,82052.437,0.971,1.527,1.131,1.123,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.518,82052.437,0.971,1.527,1.131,1.123,0,3917.671,-2074.149,-104.296,-0.035,0.045,0.5
294.91,82002.328,0.969,12.126,71.214,74.049,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5
294.942,82016.859,0.969,12.067,70.696,74.026,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5
294.975,82031.258,0.969,12.088,70.784,73.979,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5
295.017,82054.312,0.969,12.056,70.411,73.857,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
295.017,82054.312,0.969,12.056,70.411,73.857,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
295.021,82058.062,0.969,12.077,70.667,73.968,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
295.021,82058.062,0.969,12.077,70.667,73.968,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
294.966,82028.805,0.969,12.093,70.582,73.734,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
294.966,82028.805,0.969,12.093,70.841,74.161,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
294.923,82007.883,0.969,12.078,70.652,73.919,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
294.923,82007.883,0.969,12.078,70.652,73.919,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
294.933,82011.242,0.969,12.09,70.764,73.855,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5
294.933,82011.242,0.969,12.09,70.792,74.178,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5
295.001,82046.367,0.969,12.103,70.966,74.262,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
294.913,82001.555,0.969,12.108,70.966,74.262,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5
295.038,82067.875,0.969,12.082,70.731,73.964,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5
